task,duration,deadline,priority,allocated_hours
Assignment,4,2025-06-19 11:45,1,4
Assignment,4,2025-06-21 16:00,14,2
Project Work,6,2025-06-24 16:00,21,1
Internship Task,7,2025-06-23 09:45,14,2
Project Work,5,2025-06-21 13:45,11,2
Group Study,2,2025-06-22 12:15,37,1
Group Study,3,2025-06-19 17:45,3,3
Internship Task,6,2025-06-20 13:00,5,3
Research Paper,2,2025-06-22 18:15,40,1
Online Course,5,2025-06-23 18:15,21,1
Online Course,11,2025-06-23 12:45,9,3
Presentation,12,2025-06-19 12:30,1,12
Online Course,1,2025-06-19 08:45,1,1
Project Work,2,2025-06-23 11:30,49,1
Group Study,5,2025-06-22 09:45,15,2
Report Writing,6,2025-06-22 08:30,12,2
Group Study,10,2025-06-19 08:45,1,10
Assignment,1,2025-06-24 16:15,126,1
Code Review,12,2025-06-25 14:00,13,2
Online Course,6,2025-06-19 11:15,1,6
Research Paper,5,2025-06-24 09:45,24,1
Report Writing,8,2025-06-25 11:15,19,2
Research Paper,9,2025-06-24 14:15,14,2
Research Paper,11,2025-06-21 17:00,5,4
Project Work,7,2025-06-24 17:45,19,2
Group Study,6,2025-06-19 18:45,2,6
Research Paper,3,2025-06-22 14:00,26,1
Hackathon,9,2025-06-24 14:30,14,2
Presentation,9,2025-06-19 13:15,1,9
Presentation,11,2025-06-23 14:45,10,3
Group Study,2,2025-06-19 15:30,3,2
Presentation,1,2025-06-25 14:30,148,1
Report Writing,9,2025-06-20 08:30,3,9
Code Review,9,2025-06-22 14:45,9,3
Research Paper,2,2025-06-22 16:00,39,1
Online Course,10,2025-06-22 12:30,8,3
Group Study,5,2025-06-24 15:45,25,1
Hackathon,8,2025-06-19 16:15,1,8
Internship Task,5,2025-06-24 10:00,24,1
Research Paper,5,2025-06-19 15:15,1,5
Project Work,9,2025-06-23 10:00,11,3
Internship Task,7,2025-06-22 08:30,10,3
Group Study,3,2025-06-19 08:15,1,3
Research Paper,7,2025-06-24 08:30,17,2
Group Study,5,2025-06-23 10:45,20,2
